role,function,fetch path,method,headers,body,backend app.js,routes,controller,middleware,services,db query,example response
Candidate,declineOffer,${API_BASE}/candidate/offers/:id/decline,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.post(""/offers/:id/decline"", ...)",controllers/candidate.controller.js -> declineOffer(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> declineOffer(),SELECT application_id FROM offers WHERE id = ? LIMIT 1,"{""id"":123}"
Candidate,getMyProfile,${API_BASE}/candidate/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/profile"", ...)",controllers/candidate.controller.js -> getMyProfile(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
Candidate,updateMyProfile,${API_BASE}/candidate/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.put(""/profile"", ...)",controllers/candidate.controller.js -> updateMyProfile(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
Candidate,unsaveJob,${API_BASE}/candidate/saved-jobs,DELETE,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""job_id"":1}","app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.delete(""/saved-jobs"", ...)",controllers/candidate.controller.js -> unsaveJob(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> unsaveJob(),DELETE FROM saved_jobs WHERE candidate_id = ? AND job_id = ?,"{""message"":""Success""}"
Candidate,listSavedJobs,${API_BASE}/candidate/saved-jobs,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/saved-jobs"", ...)",controllers/candidate.controller.js -> listSavedJobs(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> listSavedJobs(),"SELECT j.*, c.name AS company_name FROM saved_jobs sj JOIN job_requisitions j ON sj.job_id = j.id JOIN companies c ON j.company_id = c.id WHERE sj.candidate_id = ? ORDER BY sj.saved_at DESC","[{""id"":4,""title"":""Business Analyst"",""company_name"":""Infosys Private Ltd""}]"
Candidate,saveJob,${API_BASE}/candidate/saved-jobs,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""job_id"":1}","app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.post(""/saved-jobs"", ...)",controllers/candidate.controller.js -> saveJob(),"verifyToken, checkRole(""Candidate"")",services/candidate.service.js -> saveJob(),"INSERT INTO saved_jobs (candidate_id, job_id, saved_at) VALUES (?, ?, NOW())","{""id"":123}"
Candidate,verifyEmail,${API_BASE}/candidate/verify-email,GET,{},-,"app.use(""/candidate"", candidateRoutes);","routes/candidate.routes.js -> router.get(""/verify-email"", ...)",controllers/candidate.controller.js -> verifyEmail(),none,services/candidate.service.js -> verifyCandidateEmail(),"UPDATE candidate_profiles SET is_verified = 1, updated_at = NOW() WHERE user_id = ?","{""message"":""Success""}"
CompanyAdmin,listApplications,${API_BASE}/company-admin/applications,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/applications"", ...)",controllers/companyAdmin.controller.js -> listApplications(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> listApplicationsForJob(),"SELECT a.*, u.first_name, u.last_name, u.email, cp.resume_url FROM applications a JOIN users u ON a.candidate_id = u.id LEFT JOIN candidate_profiles cp ON u.id = cp.user_id WHERE a.job_id = ? ORDER BY a.applied_at DESC","[{""id"":1,""job_id"":1,""candidate_id"":13,""status"":""applied""}]"
CompanyAdmin,finalDecision,${API_BASE}/company-admin/applications/:id/final-decision,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""selected""}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/applications/:id/final-decision"", ...)",controllers/companyAdmin.controller.js -> finalDecision(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> finalDecision(),"UPDATE applications SET status = ?, final_decision_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,moveApplicationStage,${API_BASE}/company-admin/applications/:id/move-stage,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""interview"",""current_stage_id"":2}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.put(""/applications/:id/move-stage"", ...)",controllers/companyAdmin.controller.js -> moveApplicationStage(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> moveApplicationStage(),"UPDATE applications SET status = ?, current_stage_id = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
CompanyAdmin,recommendOffer,${API_BASE}/company-admin/applications/:id/recommend-offer,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/applications/:id/recommend-offer"", ...)",controllers/companyAdmin.controller.js -> recommendOffer(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> recommendOffer(),"UPDATE applications SET offer_recommended = 1, updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,screenDecision,${API_BASE}/company-admin/applications/:id/screen,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""interview""}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/applications/:id/screen"", ...)",controllers/companyAdmin.controller.js -> screenDecision(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> screenDecision(),"UPDATE applications SET status = ?, screening_decision_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,applicationStats,${API_BASE}/company-admin/applications/stats,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/applications/stats"", ...)",controllers/companyAdmin.controller.js -> applicationStats(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> applicationStats(),"SELECT status, COUNT(*) AS count FROM applications WHERE job_id = ? GROUP BY status","[{""status"":""applied"",""count"":10},{""status"":""interview"",""count"":3}]"
CompanyAdmin,listJobs,${API_BASE}/company-admin/jobs,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/jobs"", ...)",controllers/companyAdmin.controller.js -> listJobs(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> listJobs(),"SELECT j.id, j.title, j.description, j.location, j.employment_type, j.status, j.positions_count, j.created_at, c.name AS company_name FROM job_requisitions j JOIN companies c ON j.company_id = c.id ${whereSql} ORDER BY j.created_at DESC","[{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}]"
CompanyAdmin,createJobDraft,${API_BASE}/company-admin/jobs,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""company_id"":1,""created_by"":2,""title"":""Backend Developer"",""description"":""Node.js"",""requirements"":""3+ years"",""location"":""Hyderabad"",""employment_type"":""Full-time"",""positions_count"":2}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/jobs"", ...)",controllers/companyAdmin.controller.js -> createJobDraft(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> createJobDraft(),"INSERT INTO job_requisitions (company_id, created_by, title, description, requirements, location, employment_type, status, positions_count, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, 'draft', ?, NOW(), NOW())","{""id"":123}"
CompanyAdmin,getJobById,${API_BASE}/company-admin/jobs/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/jobs/:id"", ...)",controllers/companyAdmin.controller.js -> getJobById(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> getJobById(),"SELECT j.*, c.name AS company_name, u.first_name AS creator_first, u.last_name AS creator_last FROM job_requisitions j JOIN companies c ON j.company_id = c.id JOIN users u ON j.created_by = u.id WHERE j.id = ? LIMIT 1","{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}"
CompanyAdmin,updateJob,${API_BASE}/company-admin/jobs/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""title"":""Senior Backend Developer"",""description"":""Node.js + SQL"",""requirements"":""5+ years"",""location"":""Hyderabad"",""employment_type"":""Full-time"",""positions_count"":2}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.put(""/jobs/:id"", ...)",controllers/companyAdmin.controller.js -> updateJob(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> updateJob(),"UPDATE job_requisitions SET title = ?, description = ?, requirements = ?, location = ?, employment_type = ?, positions_count = ?, updated_at = NOW() WHERE id = ? AND status IN ('draft', 'pending')","{""message"":""Success""}"
CompanyAdmin,closeJob,${API_BASE}/company-admin/jobs/:id/close,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/jobs/:id/close"", ...)",controllers/companyAdmin.controller.js -> closeJob(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> closeJob(),"UPDATE job_requisitions SET status = 'closed', closed_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,publishJob,${API_BASE}/company-admin/jobs/:id/publish,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/jobs/:id/publish"", ...)",controllers/companyAdmin.controller.js -> publishJob(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> publishJob(),"UPDATE job_requisitions SET status = 'published', published_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,submitJob,${API_BASE}/company-admin/jobs/:id/submit,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""approver_id"":3}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/jobs/:id/submit"", ...)",controllers/companyAdmin.controller.js -> submitJob(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> submitJob(),"UPDATE job_requisitions SET status = 'pending', updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,getOffers,${API_BASE}/company-admin/offers,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/offers"", ...)",controllers/companyAdmin.controller.js -> getOffers(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> getOffersByApplication(),SELECT * FROM offers WHERE application_id = ? ORDER BY created_at DESC,"[{""id"":1,""application_id"":7,""status"":""sent""}]"
CompanyAdmin,createOfferDraft,${API_BASE}/company-admin/offers,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""application_id"":7,""created_by"":2,""offer_details"":{""ctc"":""20LPA""}}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/offers"", ...)",controllers/companyAdmin.controller.js -> createOfferDraft(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> createOfferDraft(),"INSERT INTO offers (application_id, created_by, status, offer_details, created_at, updated_at) VALUES (?, ?, 'draft', ?, NOW(), NOW())","{""id"":123}"
CompanyAdmin,sendOffer,${API_BASE}/company-admin/offers/:id/send,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""document_url"":""https://files.example.com/offer.pdf"",""esign_link"":""https://esign.example.com/abc""}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.put(""/offers/:id/send"", ...)",controllers/companyAdmin.controller.js -> sendOffer(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> sendOffer(),"UPDATE offers SET status = 'sent', document_url = ?, esign_link = ?, sent_at = NOW(), updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
CompanyAdmin,getMyProfile,${API_BASE}/company-admin/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/profile"", ...)",controllers/companyAdmin.controller.js -> getMyProfile(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
CompanyAdmin,updateMyProfile,${API_BASE}/company-admin/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.put(""/profile"", ...)",controllers/companyAdmin.controller.js -> updateMyProfile(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
CompanyAdmin,listUsersByRole,${API_BASE}/company-admin/users,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/users"", ...)",controllers/companyAdmin.controller.js -> listUsersByRole(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> listUsersByRole(),"SELECT id, email, first_name, last_name, role, is_active, created_at FROM users WHERE role = ? AND is_active = 1 ORDER BY last_name, first_name","[{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}]"
CompanyAdmin,createUser,${API_BASE}/company-admin/users,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""company_id"":1,""email"":""new.user@acme.com"",""password"":""Password@123"",""first_name"":""New"",""last_name"":""User"",""role"":""HR""}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/users"", ...)",controllers/companyAdmin.controller.js -> createUser(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> createUser(),"INSERT INTO users (company_id, email, password_hash, first_name, last_name, role, is_active, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, 1, NOW(), NOW())","{""id"":123}"
CompanyAdmin,deactivateUser,${API_BASE}/company-admin/users/:id,DELETE,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.delete(""/users/:id"", ...)",controllers/companyAdmin.controller.js -> deactivateUser(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> deactivateUser(),"UPDATE users SET is_active = 0, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
CompanyAdmin,getUserById,${API_BASE}/company-admin/users/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/users/:id"", ...)",controllers/companyAdmin.controller.js -> getUserById(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> getUserById(),"SELECT id, company_id, email, first_name, last_name, role, is_active, last_login_at, created_at, updated_at FROM users WHERE id = ? LIMIT 1","{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
CompanyAdmin,updateUser,${API_BASE}/company-admin/users/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""New"",""last_name"":""User"",""email"":""new.user@acme.com"",""role"":""HR"",""company_id"":1}","app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.put(""/users/:id"", ...)",controllers/companyAdmin.controller.js -> updateUser(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> updateUser(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, role = ?, company_id = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
CompanyAdmin,activateUser,${API_BASE}/company-admin/users/:id/activate,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.post(""/users/:id/activate"", ...)",controllers/companyAdmin.controller.js -> activateUser(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> activateUser(),"UPDATE users SET is_active = 1, updated_at = NOW() WHERE id = ?","{""id"":123}"
CompanyAdmin,countUsersByRole,${API_BASE}/company-admin/users/count,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/company-admin"", companyAdminRoutes);","routes/companyAdmin.routes.js -> router.get(""/users/count"", ...)",controllers/companyAdmin.controller.js -> countUsersByRole(),"verifyToken, checkRole(""CompanyAdmin"")",services/companyAdmin.service.js -> countUsersByRole(),SELECT COUNT(*) AS total FROM users WHERE role = ? AND is_active = 1,"{""total"":8}"
HR,listApplications,${API_BASE}/hr-recruiter/applications,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/applications"", ...)",controllers/hrRecruiter.controller.js -> listApplications(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> listApplicationsForJob(),"SELECT a.*, u.first_name, u.last_name, u.email, cp.resume_url FROM applications a JOIN users u ON a.candidate_id = u.id LEFT JOIN candidate_profiles cp ON u.id = cp.user_id WHERE a.job_id = ? ORDER BY a.applied_at DESC","[{""id"":1,""job_id"":1,""candidate_id"":13,""status"":""applied""}]"
HR,moveApplicationStage,${API_BASE}/hr-recruiter/applications/:id/move-stage,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""interview"",""current_stage_id"":2}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/applications/:id/move-stage"", ...)",controllers/hrRecruiter.controller.js -> moveApplicationStage(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> moveApplicationStage(),"UPDATE applications SET status = ?, current_stage_id = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
HR,recommendOffer,${API_BASE}/hr-recruiter/applications/:id/recommend-offer,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/applications/:id/recommend-offer"", ...)",controllers/hrRecruiter.controller.js -> recommendOffer(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> recommendOffer(),"UPDATE applications SET offer_recommended = 1, updated_at = NOW() WHERE id = ?","{""id"":123}"
HR,screenDecision,${API_BASE}/hr-recruiter/applications/:id/screen,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""interview""}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/applications/:id/screen"", ...)",controllers/hrRecruiter.controller.js -> screenDecision(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> screenDecision(),"UPDATE applications SET status = ?, screening_decision_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
